Comment,Description,Designator,Footprint,LibRef,Quantity,Manufacturer Name,Manufacturer Part Number

"Capacitor - 33pF [0402] (Ceramic)","Capacitor - 33pF [0402] (Ceramic)","C1, C2, C4, C5, C6, C7, C8, C9, C10, C15, C16, C17, C18, C19, C20, C21, C22, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C37, C39, C40","CAPACITOR_0402","Capacitor - 33pF [0402-6V3]","31","Kemet","C0402C330J9RACAUTO"
"Capacitor - 1uF [0402] (Ceramic)","Multilayer Ceramic Capacitors - SMD - 6.3V 1uF X5R 0402 20%","C3","CAPACITOR_0402","Capacitor - 1uF [0402-6V3]","1","Murata","GRM153R60J105ME95D"
"Capacitor - 1nF [0402] (Ceramic)","Capacitor - 1nF [0402] (Ceramic)","C11, C12","CAPACITOR_0402","Capacitor - 1nF [0402-6V3]","2","AVX","04026C102MAT2A"
"Capacitor - 33pF [0603] (Ceramic)","Capacitor - 33pF [0603] (Ceramic)","C13, C14","CAPACITOR_0603","Capacitor - 33pF [0603-25V]","2","Kyocera AVX","06033A330F4T2A"
"Capacitor - 100nF [0402] (Ceramic)","Capacitor - 100nF [0402-6V3] (Ceramic)","C23, C24, C36","CAPACITOR_0402","Capacitor - 100nF [0402-6V3]","3","AVX","04026D104KAT4A"
"Capacitor - 10uF [0603] (Tantalum)","Capacitor - 10uF [0603] (Tantalium)","C38, C41","CAPACITOR_0603_Tantalum","Capacitor - 10uF [0603-6V3] (Tantalium)","2","AVX","F380J106MMAAH3"
"0402ESDA-MLP1","SUPPRESSOR ESD 30VDC 0402 HFREE","D1, D2, D3, D4, D5","ESD_0402","Diode - TPD1E05U06DPYR","5","Eaton","0402ESDA-MLP1"
"SMD LED (Green)","Standard LEDs - SMD MINI-MOLD ULTRA COMPACT GREEN","D6, D7","LED_0402","Diode - LED (0402-Green)","2","ROHM Semiconductor","SML-P12MTT86R"
"SMD LED (Red)","Standard LEDs - SMD MINI-MOLD ULTRA COMPACT RED","D8","LED_0402","Diode - LED (0402-Red)","1","ROHM Semiconductor","SML-P12VTT86R"
"Ferrite Bead","Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","FB1","INDUCTOR_0603","Inductor - Ferrite Bead [SMD]","1","Murata Electronics","BLM18EG101TZ1D"
"SIM Holder Tray","Memory Card Connectors ASSY 1.90 SIM CARD R IM CARD READER CONN.","J2","CONNECTOR - SIM Card","Connector - Sim Holder","1","Molex","47553-0001"
"Fixed Inductor","Fixed Inductor","L1, L2","INDUCTOR_0402","Inductor - 1nH [0402]","2","Murata Electronics","LQG15HN1N0S02D"
"Fixed Inductor","Fixed Inductor","L3","INDUCTOR_0603","Inductor - 27nH [0603]","1","Murata Electronics","LQW18AN27NJ00D"
"BC847AQAZ","Bipolar NPN Transistors","Q1, Q2, Q3, Q5, Q6, Q7, Q8","SOT1215","Transistor - BC847","7","Nexperia","BC847AQAZ"
"BC847AQAZ","Bipolar NPN Transistors","Q4","SOT-23-3 (Mosfet)","Transistor - AO3407A (Mosfet)","1","Alpha & Omega","AO3407A"
"10K - 0402 - %1 - 1/16W","Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","R1, R3, R12, R22","RESISTOR_0402","Resistor - 10K [0402]","4","Vishay","CRCW040210K0FKED"
"47K - 0402 - %1 - 1/16W","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","R2, R4, R7, R9, R13, R14, R16, R17, R18, R19, R21","RESISTOR_0402","Resistor - 47K [0402]","11","Vishay","CRCW040247K0FKED"
"330R - 0402 - %1 - 1/16W","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R5, R10, R15, R20","RESISTOR_0402","Resistor - 330R [0402]","4","Vishay","CRCW0402330RFKED"
"4K7 - 0402 - %1 - 1/16W","Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%","R6, R11","RESISTOR_0402","Resistor - 4K7 [0402]","2","Vishay","CRCW04024K70FKED"
"0R - 0402 - %1 - 1/16W","Thick Film Resistors - SMD 1/16 W 0 Ohm","R8","RESISTOR_0402","Resistor - 0R [0402]","1","Vishay","CRCW04020000Z0ED"
"73412-0110","MOLEX   73412-0110   RF COAXIAL, MICROCOAXIAL, JACK, 50OHM","RF1, RF2","Connector_IPEX","Connector - IPEX MHF","2","Molex","73412-0110"
"LE910S1-EAG LTE GSM Module","Telit LE910S1-EAG GPRS/GNSS Module","U1","LE910 GSM Modem","IC - LE910S1-EAG","1","Telit","LE910S1-EAG"
"SN74AXCH8T245PW","Translation - Voltage Levels 8-Bit Dual-Supply Bus Transceiver 24-TSSOP -40 to 125","U2","TSSOP-24","IC - SN74AXCH8T245PW","1","Texas Instruments","SN74AXCH8T245PW"
"Power Switch","Power Switch MosFet","U3","SOT-23-6","IC - TPS22917","1","Texas Instruments","TPS22917DBVR"
